metrica,valor
ambiguedad_fragmentos.cuil_cuit.0_unicos.cantidad,63
ambiguedad_fragmentos.cuil_cuit.0_unicos.porcentaje,78.75
ambiguedad_fragmentos.cuil_cuit.1_unico.cantidad,16
ambiguedad_fragmentos.cuil_cuit.1_unico.porcentaje,20.0
ambiguedad_fragmentos.cuil_cuit.mas_de_1_unico.cantidad,1
ambiguedad_fragmentos.cuil_cuit.mas_de_1_unico.porcentaje,1.25
confidence.documentos.nombre_confidence.media,0.7773723420169618
confidence.documentos.nombre_confidence.mediana,0.7781110405921936
confidence.documentos.nombre_confidence.minimo,0.6503080129623413
confidence.documentos.nombre_confidence.maximo,0.9175178408622742
confidence.documentos.dni_confidence.media,0.9364786148071289
confidence.documentos.dni_confidence.mediana,0.9661133289337158
confidence.documentos.dni_confidence.minimo,0.6861831545829773
confidence.documentos.dni_confidence.maximo,0.9999150037765503
confidence.documentos.cuil_cuit_confidence.media,0.8458884113874191
confidence.documentos.cuil_cuit_confidence.mediana,0.8684840798377991
confidence.documentos.cuil_cuit_confidence.minimo,0.6538264155387878
confidence.documentos.cuil_cuit_confidence.maximo,0.9746488928794861
confidence.fragmentos.nombre_confidence_max_por_documento.media,0.8943962635415973
confidence.fragmentos.nombre_confidence_max_por_documento.mediana,0.9138362407684326
confidence.fragmentos.nombre_confidence_max_por_documento.minimo,0.682222306728363
confidence.fragmentos.nombre_confidence_max_por_documento.maximo,0.9924934506416321
confidence.fragmentos.nombre_confidence_media_por_documento.media,0.8710463181890623
confidence.fragmentos.nombre_confidence_media_por_documento.mediana,0.8778258512417476
confidence.fragmentos.nombre_confidence_media_por_documento.minimo,0.682222306728363
confidence.fragmentos.nombre_confidence_media_por_documento.maximo,0.984761118888855
confidence.fragmentos.dni_confidence_max_por_documento.media,0.9760804967238352
confidence.fragmentos.dni_confidence_max_por_documento.mediana,0.9918588399887085
confidence.fragmentos.dni_confidence_max_por_documento.minimo,0.813862681388855
confidence.fragmentos.dni_confidence_max_por_documento.maximo,0.9999266862869263
confidence.fragmentos.dni_confidence_media_por_documento.media,0.9728111646878413
confidence.fragmentos.dni_confidence_media_por_documento.mediana,0.9899305800596874
confidence.fragmentos.dni_confidence_media_por_documento.minimo,0.813862681388855
confidence.fragmentos.dni_confidence_media_por_documento.maximo,0.9989816546440125
confidence.fragmentos.cuil_cuit_confidence_max_por_documento.media,0.8395796032512889
confidence.fragmentos.cuil_cuit_confidence_max_por_documento.mediana,0.8411879539489746
confidence.fragmentos.cuil_cuit_confidence_max_por_documento.minimo,0.6690171957015991
confidence.fragmentos.cuil_cuit_confidence_max_por_documento.maximo,0.9900805354118347
confidence.fragmentos.cuil_cuit_confidence_media_por_documento.media,0.8302939779618207
confidence.fragmentos.cuil_cuit_confidence_media_por_documento.mediana,0.8175317645072937
confidence.fragmentos.cuil_cuit_confidence_media_por_documento.minimo,0.6690171957015991
confidence.fragmentos.cuil_cuit_confidence_media_por_documento.maximo,0.977335512638092
rendimiento.tiempo_total_documentos,872.277
rendimiento.tiempo_total_fragmentos,164.663
rendimiento.segundos_por_documento_documentos,10.9034625
rendimiento.segundos_por_documento_fragmentos,2.0582875
rendimiento.segundos_por_fragmento,0.7006936170212766
rendimiento.speedup_fragmentos_vs_documentos,5.29734670205207
